131,complex,entity_wrong,type_true,rel1_right,rel2_false,no_constraint
132,complex,entity_right,type_true,rel1_false,rel2_false,type_constraint
133,complex,entity_right,type_true,rel1_false,rel2_false,type_constraint
136,complex,entity_wrong,type_true,rel1_right,rel2_right,type_constraint
137,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
138,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
139,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
140,complex,entity_wrong,type_true,rel1_false,rel2_false,no_constraint
141,complex,entity_wrong,type_true,rel1_false,rel2_right,type_constraint
144,complex,entity_right,type_false,rel1_false,rel2_false,type_constraint
146,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
149,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
150,complex,entity_right,type_true,rel1_right,rel2_false,no_constraint
154,complex,entity_right,type_true,rel1_right,rel2_false,type_constraint
156,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
157,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
158,complex,entity_wrong,type_true,rel1_right,rel2_right,no_constraint
160,complex,entity_right,type_true,rel1_right,rel2_false,no_constraint
161,complex,entity_wrong,type_true,rel1_false,rel2_right,type_constraint
162,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
163,complex,entity_right,type_false,rel1_false,rel2_right,no_constraint
166,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
167,complex,entity_right,type_true,rel1_false,rel2_false,no_constraint
168,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
170,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
172,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
173,complex,entity_right,type_true,rel1_false,rel2_false,no_constraint
174,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
176,complex,entity_wrong,type_true,rel1_right,rel2_false,type_constraint
178,complex,entity_right,type_true,rel1_right,rel2_right,type_constraint
179,complex,entity_wrong,type_true,rel1_right,rel2_false,type_constraint
180,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
181,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
182,complex,entity_wrong,type_true,rel1_false,rel2_right,no_constraint
185,complex,entity_right,type_true,rel1_right,rel2_right,type_constraint
187,complex,entity_right,type_true,rel1_right,rel2_right,type_constraint
191,complex,entity_right,type_true,rel1_right,rel2_false,no_constraint
192,complex,entity_right,type_true,rel1_right,rel2_right,type_constraint
194,complex,entity_right,type_true,rel1_right,rel2_right,type_constraint
195,complex,entity_right,type_true,rel1_false,rel2_false,no_constraint
197,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
198,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
199,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
201,complex,entity_wrong,type_true,rel1_false,rel2_false,no_constraint
202,complex,entity_right,type_true,rel1_false,rel2_false,type_constraint
203,complex,entity_right,type_true,rel1_false,rel2_right,no_constraint
205,complex,entity_right,type_true,rel1_right,rel2_right,no_constraint
206,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
207,complex,entity_right,type_true,rel1_false,rel2_right,type_constraint
208,complex,entity_wrong,type_true,rel1_false,rel2_right,no_constraint
209,complex,entity_right,type_true,rel1_false,rel2_false,no_constraint
